UF,Tipo Crime,Ano,Mês,Ocorrências
AMAPÁ,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,OUTUBRO,2
AMAPÁ,ROUBO DE CARGA,2022,OUTUBRO,4
AMAPÁ,ROUBO DE VEÍCULO,2022,OUTUBRO,34
AMAPÁ,TENTATIVA DE HOMICÍDIO,2022,OUTUBRO,24
AMAPÁ,ESTUPRO,2022,NOVEMBRO,17
AMAPÁ,FURTO DE VEÍCULO,2022,NOVEMBRO,44
AMAPÁ,HOMICÍDIO DOLOSO,2022,NOVEMBRO,21
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,NOVEMBRO,2
AMAPÁ,ROUBO DE VEÍCULO,2022,NOVEMBRO,31
AMAPÁ,TENTATIVA DE HOMICÍDIO,2022,NOVEMBRO,17
AMAPÁ,ESTUPRO,2022,DEZEMBRO,19
AMAPÁ,FURTO DE VEÍCULO,2022,DEZEMBRO,24
AMAPÁ,HOMICÍDIO DOLOSO,2022,DEZEMBRO,26
AMAPÁ,LESÃO CORPORAL SEGUIDA DE MORTE,2022,DEZEMBRO,2
AMAPÁ,ROUBO DE VEÍCULO,2022,DEZEMBRO,26
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,DEZEMBRO,3
AMAPÁ,TENTATIVA DE HOMICÍDIO,2022,DEZEMBRO,16
AMAZONAS,ESTUPRO,2022,JANEIRO,43
AMAZONAS,FURTO DE VEÍCULO,2022,JANEIRO,176
AMAZONAS,HOMICÍDIO DOLOSO,2022,JANEIRO,95
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JANEIRO,1
AMAZONAS,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,JANEIRO,0
AMAZONAS,ROUBO DE CARGA,2022,JANEIRO,0
AMAZONAS,ROUBO DE VEÍCULO,2022,JANEIRO,144
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JANEIRO,5
AMAZONAS,TENTATIVA DE HOMICÍDIO,2022,JANEIRO,11
AMAZONAS,ESTUPRO,2022,FEVEREIRO,64
AMAZONAS,FURTO DE VEÍCULO,2022,FEVEREIRO,204
AMAZONAS,HOMICÍDIO DOLOSO,2022,FEVEREIRO,90
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,FEVEREIRO,2
AMAZONAS,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,FEVEREIRO,0
AMAZONAS,ROUBO DE CARGA,2022,FEVEREIRO,0
AMAZONAS,ROUBO DE VEÍCULO,2022,FEVEREIRO,174
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,FEVEREIRO,5
AMAZONAS,TENTATIVA DE HOMICÍDIO,2022,FEVEREIRO,16
AMAZONAS,ESTUPRO,2022,MARÇO,76
AMAZONAS,FURTO DE VEÍCULO,2022,MARÇO,211
AMAZONAS,HOMICÍDIO DOLOSO,2022,MARÇO,97
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,MARÇO,5
AMAZONAS,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,MARÇO,0
AMAZONAS,ROUBO DE CARGA,2022,MARÇO,1
AMAZONAS,ROUBO DE VEÍCULO,2022,MARÇO,164
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,MARÇO,5
AMAZONAS,TENTATIVA DE HOMICÍDIO,2022,MARÇO,27
AMAZONAS,ESTUPRO,2022,ABRIL,81
AMAZONAS,FURTO DE VEÍCULO,2022,ABRIL,195
AMAZONAS,HOMICÍDIO DOLOSO,2022,ABRIL,115
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,ABRIL,5
AMAZONAS,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,ABRIL,0
AMAZONAS,ROUBO DE CARGA,2022,ABRIL,3
AMAZONAS,ROUBO DE VEÍCULO,2022,ABRIL,113
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,ABRIL,4
AMAZONAS,TENTATIVA DE HOMICÍDIO,2022,ABRIL,33
AMAZONAS,ESTUPRO,2022,MAIO,72
AMAZONAS,FURTO DE VEÍCULO,2022,MAIO,220
AMAZONAS,HOMICÍDIO DOLOSO,2022,MAIO,127
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,MAIO,2
AMAZONAS,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,MAIO,0
AMAZONAS,ROUBO DE CARGA,2022,MAIO,0
AMAZONAS,ROUBO DE VEÍCULO,2022,MAIO,118
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,MAIO,7
AMAZONAS,TENTATIVA DE HOMICÍDIO,2022,MAIO,16
AMAZONAS,ESTUPRO,2022,JUNHO,81
AMAZONAS,FURTO DE VEÍCULO,2022,JUNHO,178
AMAZONAS,HOMICÍDIO DOLOSO,2022,JUNHO,96
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JUNHO,0
AMAZONAS,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,JUNHO,0
AMAZONAS,ROUBO DE CARGA,2022,JUNHO,2
AMAZONAS,ROUBO DE VEÍCULO,2022,JUNHO,111
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JUNHO,4
AMAZONAS,TENTATIVA DE HOMICÍDIO,2022,JUNHO,17
AMAZONAS,ESTUPRO,2022,JULHO,100
AMAZONAS,FURTO DE VEÍCULO,2022,JULHO,231
AMAZONAS,HOMICÍDIO DOLOSO,2022,JULHO,101
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JULHO,2
AMAZONAS,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,JULHO,0
AMAZONAS,ROUBO DE CARGA,2022,JULHO,0
AMAZONAS,ROUBO DE VEÍCULO,2022,JULHO,116
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JULHO,6
AMAZONAS,TENTATIVA DE HOMICÍDIO,2022,JULHO,25
AMAZONAS,ESTUPRO,2022,AGOSTO,88
AMAZONAS,FURTO DE VEÍCULO,2022,AGOSTO,157
AMAZONAS,HOMICÍDIO DOLOSO,2022,AGOSTO,109
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,AGOSTO,1
AMAZONAS,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,AGOSTO,1
AMAZONAS,ROUBO DE CARGA,2022,AGOSTO,6
AMAZONAS,ROUBO DE VEÍCULO,2022,AGOSTO,118
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,AGOSTO,3
AMAZONAS,TENTATIVA DE HOMICÍDIO,2022,AGOSTO,26
AMAZONAS,ESTUPRO,2022,SETEMBRO,99
AMAZONAS,FURTO DE VEÍCULO,2022,SETEMBRO,208
AMAZONAS,HOMICÍDIO DOLOSO,2022,SETEMBRO,118
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,SETEMBRO,4
AMAZONAS,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,SETEMBRO,0
AMAZONAS,ROUBO DE CARGA,2022,SETEMBRO,1
AMAZONAS,ROUBO DE VEÍCULO,2022,SETEMBRO,100
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,SETEMBRO,2
AMAZONAS,TENTATIVA DE HOMICÍDIO,2022,SETEMBRO,20
AMAZONAS,ESTUPRO,2022,OUTUBRO,71
AMAZONAS,FURTO DE VEÍCULO,2022,OUTUBRO,134
AMAZONAS,HOMICÍDIO DOLOSO,2022,OUTUBRO,122
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,OUTUBRO,5
AMAZONAS,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,OUTUBRO,0
AMAZONAS,ROUBO DE CARGA,2022,OUTUBRO,2
AMAZONAS,ROUBO DE VEÍCULO,2022,OUTUBRO,123
AMAZONAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,OUTUBRO,5
AMAZONAS,TENTATIVA DE HOMICÍDIO,2022,OUTUBRO,31
