UF,Tipo Crime,Ano,Mês,Sexo da Vítima,Vítimas
AMAPÁ,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,DEZEMBRO,MASCULINO,3
AMAZONAS,HOMICÍDIO DOLOSO,2022,JANEIRO,FEMININO,3
AMAZONAS,HOMICÍDIO DOLOSO,2022,JANEIRO,MASCULINO,93
AMAZONAS,HOMICÍDIO DOLOSO,2022,JANEIRO,SEXO NI,1
AMAZONAS,HOMICÍDIO DOLOSO,2022,FEVEREIRO,FEMININO,8
AMAZONAS,HOMICÍDIO DOLOSO,2022,FEVEREIRO,MASCULINO,85
AMAZONAS,HOMICÍDIO DOLOSO,2022,FEVEREIRO,SEXO NI,0
AMAZONAS,HOMICÍDIO DOLOSO,2022,MARÇO,FEMININO,3
AMAZONAS,HOMICÍDIO DOLOSO,2022,MARÇO,MASCULINO,96
AMAZONAS,HOMICÍDIO DOLOSO,2022,MARÇO,SEXO NI,0
AMAZONAS,HOMICÍDIO DOLOSO,2022,ABRIL,FEMININO,8
AMAZONAS,HOMICÍDIO DOLOSO,2022,ABRIL,MASCULINO,107
AMAZONAS,HOMICÍDIO DOLOSO,2022,ABRIL,SEXO NI,1
AMAZONAS,HOMICÍDIO DOLOSO,2022,MAIO,FEMININO,6
AMAZONAS,HOMICÍDIO DOLOSO,2022,MAIO,MASCULINO,127
AMAZONAS,HOMICÍDIO DOLOSO,2022,MAIO,SEXO NI,0
AMAZONAS,HOMICÍDIO DOLOSO,2022,JUNHO,FEMININO,3
AMAZONAS,HOMICÍDIO DOLOSO,2022,JUNHO,MASCULINO,94
AMAZONAS,HOMICÍDIO DOLOSO,2022,JUNHO,SEXO NI,0
AMAZONAS,HOMICÍDIO DOLOSO,2022,JULHO,FEMININO,3
AMAZONAS,HOMICÍDIO DOLOSO,2022,JULHO,MASCULINO,102
AMAZONAS,HOMICÍDIO DOLOSO,2022,JULHO,SEXO NI,0
AMAZONAS,HOMICÍDIO DOLOSO,2022,AGOSTO,FEMININO,6
AMAZONAS,HOMICÍDIO DOLOSO,2022,AGOSTO,MASCULINO,104
AMAZONAS,HOMICÍDIO DOLOSO,2022,AGOSTO,SEXO NI,0
AMAZONAS,HOMICÍDIO DOLOSO,2022,SETEMBRO,FEMININO,8
AMAZONAS,HOMICÍDIO DOLOSO,2022,SETEMBRO,MASCULINO,110
AMAZONAS,HOMICÍDIO DOLOSO,2022,SETEMBRO,SEXO NI,0
AMAZONAS,HOMICÍDIO DOLOSO,2022,OUTUBRO,FEMININO,5
AMAZONAS,HOMICÍDIO DOLOSO,2022,OUTUBRO,MASCULINO,120
AMAZONAS,HOMICÍDIO DOLOSO,2022,OUTUBRO,SEXO NI,1
AMAZONAS,HOMICÍDIO DOLOSO,2022,NOVEMBRO,FEMININO,8
AMAZONAS,HOMICÍDIO DOLOSO,2022,NOVEMBRO,MASCULINO,101
AMAZONAS,HOMICÍDIO DOLOSO,2022,NOVEMBRO,SEXO NI,0
AMAZONAS,HOMICÍDIO DOLOSO,2022,DEZEMBRO,FEMININO,6
AMAZONAS,HOMICÍDIO DOLOSO,2022,DEZEMBRO,MASCULINO,110
AMAZONAS,HOMICÍDIO DOLOSO,2022,DEZEMBRO,SEXO NI,0
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JANEIRO,FEMININO,0
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JANEIRO,MASCULINO,1
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JANEIRO,SEXO NI,0
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,FEVEREIRO,FEMININO,0
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,FEVEREIRO,MASCULINO,2
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,FEVEREIRO,SEXO NI,0
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,MARÇO,FEMININO,0
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,MARÇO,MASCULINO,5
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,MARÇO,SEXO NI,0
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,ABRIL,FEMININO,4
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,ABRIL,SEXO NI,1
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,MAIO,FEMININO,0
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,MAIO,MASCULINO,2
AMAZONAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,MAIO,SEXO NI,0
